Algoritmo,Tamaño,Versión,Ej_1_ms,Ej_2_ms,Ej_3_ms,Ej_4_ms,Ej_5_ms
Factorial,5,Iterativa,0.003000,0.000200,0.000100,0.000100,0.000000
Factorial,5,Recursiva,0.009500,0.000200,0.000100,0.000100,0.000100
Factorial,10,Iterativa,0.001000,0.000200,0.000100,0.000100,0.000100
Factorial,10,Recursiva,0.000700,0.000300,0.000300,0.000300,0.000200
Factorial,15,Iterativa,0.000700,0.000200,0.000200,0.000200,0.000200
Factorial,15,Recursiva,0.001100,0.000600,0.000500,0.002800,0.000500
Factorial,20,Iterativa,0.000700,0.000200,0.000200,0.000200,0.000100
Factorial,20,Recursiva,0.000900,0.000500,0.000600,0.000500,0.000400
Factorial,25,Iterativa,0.000700,0.000400,0.000400,0.000300,0.000300
Factorial,25,Recursiva,0.038100,0.000700,0.000800,0.000700,0.000700
Factorial,30,Iterativa,0.000900,0.000400,0.000400,0.000300,0.000300
Factorial,30,Recursiva,0.011200,0.000200,0.000200,0.000200,0.000200
Fibonacci,10,Iterativa,0.004600,0.000300,0.021300,0.000400,0.000200
Fibonacci,10,Recursiva,0.012200,0.016400,0.011700,0.006700,0.006300
Fibonacci,15,Iterativa,0.000800,0.000300,0.000300,0.000200,0.000200
Fibonacci,15,Recursiva,0.021800,0.004500,0.015600,0.004600,0.004300
Fibonacci,20,Iterativa,0.000900,0.000400,0.000300,0.000300,0.000300
Fibonacci,20,Recursiva,0.045500,0.043900,0.043600,0.043400,0.043600
Fibonacci,25,Iterativa,0.000900,0.000400,0.000300,0.000300,0.000300
BusquedaLineal,1000,Iterativa,0.012800,0.008300,0.009300,0.008100,0.008400
BusquedaLineal,1000,Recursiva,0.069800,0.023800,0.023500,0.023400,0.023200
BusquedaLineal,5000,Iterativa,0.028800,0.034300,0.034000,0.034300,0.033900
BusquedaLineal,5000,Recursiva,0.078600,0.007700,0.020400,0.007700,0.008200
BusquedaLineal,10000,Iterativa,0.027300,0.027200,0.027300,0.027100,0.034000
BusquedaLineal,10000,Recursiva,0.023600,0.007700,0.007800,0.010500,0.010600
BusquedaLineal,50000,Iterativa,0.014400,0.013700,0.013600,0.013300,0.013500
BusquedaLineal,50000,Recursiva,0.023000,0.003700,0.003800,0.003700,0.003600
OrdenamientoBurbuja,100,Iterativa,0.138000,0.135600,0.130900,0.135700,0.140000
OrdenamientoBurbuja,100,Recursiva,0.151000,0.146200,0.037800,0.019800,0.020600
OrdenamientoBurbuja,500,Iterativa,1.893800,0.308600,0.310800,0.310200,0.320500
OrdenamientoBurbuja,500,Recursiva,0.763000,0.556000,0.520000,0.388000,0.468400
OrdenamientoBurbuja,1000,Iterativa,1.006100,0.524700,0.560700,0.556100,0.475000
OrdenamientoBurbuja,1000,Recursiva,1.547300,1.417400,2.457700,2.248500,2.056300
OrdenamientoBurbuja,2000,Iterativa,2.143400,1.622400,1.429200,1.423300,1.459600
OrdenamientoBurbuja,2000,Recursiva,1.760600,1.453200,1.325800,1.302600,1.315200
